Arup





File WBBn_base_v48_base.gwb
Exported 02/02/2021 21:50:19

GSA 10.1.39.2 64-bit Copyright © Oasys 1985-2020

Combination Case and Envelope Details
Cases for which results are not available are displayed in red" or, in case descriptions, within angle brackets."


Combination Cases

START_TABLE Combination Cases
Case,Name,Note,Permutation,Description
C85,Temp Comb 10-2,0.75(Horizontal deck gradient east + Horizontal arch gradient east) + Uniform exp.,,0.75(A48 + A50) + A40
C86,Temp Comb 11-1,Horizontal deck gradient west + Horizontal arch gradient west + 0.35 (Uniform exp. + Hangers exp.),,A47 + A45 + 0.35(A40 + A46)
C87,Temp Comb 11-2,Horizontal deck gradient east + Horizontal arch gradient east + 0.35 (Uniform exp. + Hangers exp.),,A48 + A50 + 0.35(A40 + A46)
C88,Temp Comb 12-1,0.75(Horizontal deck gradient west + Horizontal arch gradient west) + Uniform exp. + Hangers exp.,,0.75(A47 + A45) + A40 + A46
C89,Temp Comb 12-2,0.75(Horizontal deck gradient east + Horizontal arch gradient east) + Uniform exp. + Hangers exp.,,0.75(A48 + A50) + A40 + A46
C90,Temp Comb 13-1,Vertical deck gradient (exp.) + Horizontal deck gradient west + 0.35 Uniform exp.,,A42 + A47 + 0.35(A40)
C91,Temp Comb 13-2,Vertical deck gradient (exp.) + Horizontal deck gradient east + 0.35 Uniform exp.,,A42 + A48 + 0.35(A40)
C92,Temp Comb 14-1,0.75(Vertical deck gradient (exp.) + Horizontal deck gradient west) + Uniform exp.,,0.75(A42 + A47) + A40
C93,Temp Comb 14-2,0.75(Vertical deck gradient (exp.) + Horizontal deck gradient east) + Uniform exp.,,0.75(A42 + A48) + A40
C95,Temp Bear Individual Case 1: uniform cont.,Individual Case 1-1: Uniform contr. (bearings) (50.8/40.8 =1.2451),,1.2451(A41)
C96,Temp Bear Individual Case 1: uniform exp.,Individual Case 1-2: Uniform exp. (bearings) (47.2/37.2 = 1.26882),,1.26882(A40)
C97,Temp Bear Individual Case 2: deck contr.,Individual Case 2-1: Vertical deck gradient (contr.) (bearings),,A43
