Arup





File WBBn_base_v48_traffic (Node effects)_solved.gwb
Exported 03/02/2021 16:31:59

GSA 10.1.39.2 64-bit Copyright © Oasys 1985-2020

Displacements
Displacements reported at nodes;  fully restrained nodes are excluded
Output axes:  global
"Node list:  ""bearings top"""

START_TABLE Displacements
,,[mm],[mm],[mm],[mm],[rad],[rad],[rad],[rad],[mm]
Node,Case,Ux,Uy,Uz,|U|,Rxx,Ryy,Rzz,|R|,Uxy
12110,C1436,6.310,-7.251,-0.04968,9.612,-0.001186,0.001546,197.6E-6,0.001959,9.612
12110,C1437,-9.468,-0.2514,-0.02670,9.472,-194.0E-6,-39.72E-6,-423.0E-6,467.0E-6,9.472
12110,C1438,5.174,-7.283,-0.05826,8.934,-0.001211,0.001868,158.6E-6,0.002231,8.934
12110,C1439,-18.32,-1.577,-0.07360,18.39,-140.8E-6,0.002078,-475.7E-6,0.002136,18.39
12110,C1440,12.50,-0.6233,-0.01452,12.51,-362.3E-6,610.7E-6,177.6E-6,732.0E-6,12.51
12110,C1441,-19.49,-2.236,-0.07285,19.62,-220.6E-6,0.002453,-510.7E-6,0.002515,19.62
12110,C1442,10.95,-0.3592,-0.02012,10.95,-301.1E-6,409.5E-6,196.5E-6,544.9E-6,10.95
12110,C1443,-18.03,-2.761,-0.06778,18.24,-321.1E-6,0.002361,-438.2E-6,0.002423,18.24
12110,C1444,9.576,-0.3511,-0.02415,9.583,-296.4E-6,176.0E-6,170.6E-6,384.6E-6,9.583
12110,C1445,-5.933,-1.334,-0.05981,6.082,-157.6E-6,0.003598,-176.1E-6,0.003606,6.082
12110,C1446,0.4094,-6.793,-0.04178,6.805,-0.001287,-382.0E-6,8.292E-6,0.001343,6.805
12110,C1447,1.937,-0.8062,-0.01439,2.098,-156.6E-6,-537.3E-6,65.64E-6,563.5E-6,2.098
12110,C1448,-0.5642,-3.419,-0.06648,3.466,-692.2E-6,0.002935,-182.2E-6,0.003021,3.465
12110,C1449,-0.1146,-5.925,-0.06297,5.927,-0.001102,0.003102,-180.4E-6,0.003297,5.926
12110,C1450,-0.1040,-4.705,-0.03013,4.706,-945.1E-6,-663.4E-6,37.77E-6,0.001155,4.706
12110,C1451,-1.411,-3.369,-0.06333,3.653,-652.2E-6,0.003066,-186.2E-6,0.003140,3.653
12110,C1452,-2.282,-0.8645,-0.02065,2.440,-245.5E-6,-657.0E-6,-99.28E-6,708.4E-6,2.440
12110,C1453,20.70,-1.725,-0.01851,20.77,-658.7E-6,875.8E-6,343.9E-6,0.001149,20.77
12110,C1454,-20.58,-0.8537,-0.07052,20.60,19.89E-6,0.002625,-510.2E-6,0.002674,20.60
12110,C1455,0.8293,-7.962,-0.07629,8.005,-0.001523,0.002715,-81.82E-6,0.003114,8.005
12110,C1456,-9.189,-3.109,-0.07948,9.701,-450.6E-6,0.004033,-272.6E-6,0.004068,9.701
12110,C1457,-2.367,-0.8211,-0.02167,2.505,-247.7E-6,-623.4E-6,-105.8E-6,679.1E-6,2.505
12110,C1458,15.45,-1.131,-0.01545,15.49,-369.2E-6,133.6E-6,413.7E-6,570.4E-6,15.49
12110,C1459,-14.75,-2.082,-0.05975,14.90,-368.1E-6,0.001772,-556.8E-6,0.001894,14.90
12110,C1460,9.461,-3.110,-0.04878,9.959,-789.5E-6,0.002772,-35.18E-6,0.002882,9.959
12110,C1461,2.179,-0.8216,-0.01990,2.329,-176.7E-6,-569.7E-6,66.41E-6,600.1E-6,2.329
12110,C1462,14.93,-2.132,-0.03118,15.08,-513.0E-6,0.001299,314.6E-6,0.001431,15.08
12110,C1463,-15.36,-0.9516,-0.04517,15.39,-182.7E-6,710.2E-6,-466.3E-6,869.0E-6,15.39
12110,C1464,-3.432,-1.393,-0.06927,3.705,-416.1E-6,0.002086,-266.2E-6,0.002144,3.704
12110,C1465,-0.2030,-0.04592,-57.95E-6,0.2081,-5.968E-6,139.7E-9,-6.456E-6,8.793E-6,0.2081
12110,C1466,-0.6296,-0.3056,-0.03583,0.7008,-170.8E-6,-215.6E-6,-66.40E-6,282.9E-6,0.6999
12110,C1467,-5.857,-2.689,-0.06743,6.445,-432.6E-6,0.003369,-226.0E-6,0.003404,6.444
12110,C1468,-4.055,-0.7250,-0.02385,4.120,-244.8E-6,-662.0E-6,-167.0E-6,725.3E-6,4.119
12110,C1469,-16.04,-1.257,-0.05134,16.09,-173.7E-6,0.001055,-470.9E-6,0.001168,16.09
12110,C1470,16.97,-0.3133,-0.01445,16.97,-286.3E-6,432.2E-6,385.8E-6,646.2E-6,16.97
12110,C1471,13.47,-1.633,-0.05358,13.57,-540.4E-6,0.001786,208.2E-6,0.001877,13.57
12110,C1472,-10.27,-0.3599,-0.02454,10.28,-55.10E-6,340.0E-6,-320.6E-6,470.6E-6,10.28
12110,C1473,6.083,-2.689,-0.04772,6.651,-657.3E-6,0.002594,-58.80E-6,0.002677,6.651
12110,C1474,3.823,-0.7260,-0.01976,3.891,-153.2E-6,-608.8E-6,120.4E-6,639.3E-6,3.891
12110,C1475,-16.91,-1.219,-0.05394,16.96,-161.3E-6,0.001440,-475.8E-6,0.001525,16.96
12110,C1476,15.92,-0.2748,-0.01452,15.93,-259.8E-6,172.3E-6,380.0E-6,491.5E-6,15.93
12110,C1477,-8.769,-5.967,-0.09556,10.61,-0.001176,0.002856,-272.7E-6,0.003100,10.61
12110,C1478,3.403,-0.03778,29.12E-6,3.403,-77.93E-6,111.0E-6,60.45E-6,148.5E-6,3.403
12110,C1479,9.306,-5.968,-0.05750,11.06,-0.001196,0.001956,51.90E-6,0.002293,11.06
12110,C1480,-3.404,-0.03693,-0.009733,3.405,36.93E-6,430.7E-6,-71.68E-6,438.2E-6,3.405
12110,C1481,-12.35,-1.283,-0.06741,12.42,3.718E-6,0.002580,-216.3E-6,0.002589,12.42
12110,C1482,12.40,-2.548,-0.02485,12.66,-842.3E-6,747.9E-6,34.04E-6,0.001127,12.66
12110,C1483,4.074,-1.110,-0.02648,4.223,-269.0E-6,-230.8E-6,81.95E-6,363.8E-6,4.223
12110,C1484,7.041,-2.725,-0.04518,7.550,-674.7E-6,0.002439,-41.17E-6,0.002531,7.550
12110,C1485,-2.939,-0.4645,-0.04300,2.976,-309.3E-6,250.9E-6,-247.3E-6,468.8E-6,2.976
12110,C1486,0.6537,-2.982,-0.004593,3.052,-406.1E-6,-59.75E-6,70.20E-6,416.4E-6,3.052
12110,C1487,2.464,-0.4655,-0.04604,2.508,-112.7E-6,759.9E-6,109.8E-6,776.0E-6,2.508
12110,C1488,-0.3655,-2.981,-0.01278,3.004,-700.6E-6,-186.1E-6,12.78E-6,725.0E-6,3.004
12110,C1489,12.40,-2.548,-0.02485,12.66,-842.3E-6,747.9E-6,34.04E-6,0.001127,12.66
12110,C1490,-12.35,-1.283,-0.06741,12.42,3.718E-6,0.002580,-216.3E-6,0.002589,12.42
12110,C1491,0.7644,-7.521,-0.07701,7.560,-0.001429,0.002619,-93.72E-6,0.002984,7.560
12110,C1492,-2.636,-0.3376,-0.04143,2.658,-194.6E-6,27.34E-6,-140.2E-6,241.4E-6,2.658
12110,C1493,0.2000,-4.403,-0.007444,4.407,-795.6E-6,-80.35E-6,74.98E-6,803.1E-6,4.407
30097,A1,3.035E-12,6.286E-9,-0.08200,0.08200,346.5E-6,0.003473,541.6E-6,0.003532,6.286E-9
30097,A2,-3.406E-12,1.250E-9,-0.01469,0.01469,248.7E-6,-54.57E-6,-459.4E-6,525.3E-6,1.250E-9
30097,A3,-1.222E-12,5.597E-9,-0.08551,0.08551,440.3E-6,0.003742,504.4E-6,0.003801,5.597E-9
30097,A4,-4.594E-12,3.428E-9,-0.01445,0.01445,197.7E-6,-235.1E-6,-438.5E-6,535.4E-6,3.428E-9
30097,A5,3.711E-12,5.439E-9,-0.07970,0.07970,452.6E-6,0.004032,295.4E-6,0.004068,5.439E-9
30097,A6,-5.140E-12,-4.058E-9,-0.03142,0.03142,805.4E-6,-742.7E-6,59.03E-6,0.001097,4.058E-9
30097,A7,2.254E-12,6.445E-9,-0.08937,0.08937,277.2E-6,0.003438,334.4E-6,0.003466,6.445E-9
30097,A8,0.0,645.5E-12,-0.001111,0.001111,15.64E-6,-36.18E-6,-14.78E-6,42.10E-6,645.5E-12
30097,A9,10.07E-12,4.903E-9,-0.08756,0.08756,284.7E-6,0.003247,370.3E-6,0.003281,4.904E-9
30097,A10,0.0,-4.873E-12,-0.006508,0.006508,276.0E-6,-77.22E-6,-14.90E-6,287.0E-6,4.875E-12
30097,A11,1.721E-12,1.526E-9,-0.08432,0.08432,324.6E-6,0.003060,481.8E-6,0.003115,1.526E-9
30097,A12,0.0,5.440E-9,-0.01165,0.01165,387.3E-6,-219.8E-6,-308.0E-6,541.5E-6,5.440E-9
30097,A13,-1.443E-12,7.496E-9,-0.03680,0.03680,123.6E-6,0.001052,-371.5E-6,0.001122,7.496E-9
30097,A14,-3.219E-12,-6.590E-9,-0.05016,0.05016,0.001439,707.5E-6,345.6E-6,0.001641,6.590E-9
30097,A15,0.0,7.593E-9,-0.02289,0.02289,76.18E-6,410.2E-6,-408.5E-6,583.9E-6,7.593E-9
30097,A16,0.0,-5.225E-9,-0.06037,0.06037,0.001542,0.001206,348.3E-6,0.001988,5.225E-9
30097,A17,-3.255E-12,8.643E-9,-0.01796,0.01796,14.66E-6,317.4E-6,-358.6E-6,479.1E-6,8.643E-9
30097,A18,-2.965E-12,-5.174E-9,-0.06652,0.06652,0.001578,0.001477,323.3E-6,0.002186,5.174E-9
30097,A19,0.0,-7.693E-9,-0.02630,0.02630,645.2E-6,589.1E-6,-319.8E-6,930.4E-6,7.693E-9
30097,A20,0.0,6.799E-9,-0.05053,0.05053,-10.94E-6,0.001829,301.5E-6,0.001853,6.799E-9
30097,A21,1.517E-12,-7.831E-9,-0.02070,0.02070,736.9E-6,789.6E-6,-321.2E-6,0.001127,7.831E-9
30097,A22,0.0,5.411E-9,-0.04943,0.04943,17.65E-6,0.001269,286.7E-6,0.001301,5.411E-9
30097,A23,2.843E-12,-8.862E-9,-0.01408,0.01408,778.3E-6,658.8E-6,-279.6E-6,0.001057,8.862E-9
30097,A24,-2.934E-12,5.273E-9,-0.05002,0.05002,48.44E-6,898.4E-6,263.1E-6,937.3E-6,5.273E-9
30097,A25,-3.811E-12,-4.068E-9,-0.03940,0.03940,417.3E-6,0.002689,59.41E-6,0.002722,4.068E-9
30097,A26,-1.226E-12,-106.9E-12,-0.04283,0.04283,0.001324,-384.4E-6,19.08E-6,0.001379,106.9E-12
30097,A27,-3.231E-12,-3.973E-9,-0.01529,0.01529,222.7E-6,-589.3E-6,82.30E-6,635.3E-6,3.973E-9
30097,A28,-3.361E-12,-286.6E-12,-0.06517,0.06517,699.8E-6,0.002891,156.1E-6,0.002978,286.6E-12
30097,A29,9.660E-12,-50.28E-12,-0.06130,0.06130,0.001096,0.003050,187.1E-6,0.003246,51.20E-12
