Arup





File WBBn_base_v48_base.gwb
Exported 02/02/2021 23:28:10

GSA 10.1.39.2 64-bit Copyright © Oasys 1985-2020

Displacements
Displacements reported at nodes;  fully restrained nodes are excluded
Output axes:  global
"Node list:  ""bearings top"""
Some of the combined results are from different analysis stages. The user should ensure that this combination is valid.

START_TABLE Displacements
,,[mm],[mm],[mm],[mm],[rad],[rad],[rad],[rad],[mm]
Node,Case,Ux,Uy,Uz,|U|,Rxx,Ryy,Rzz,|R|,Uxy
12110,C80,103.3E-6,12.19,-557.1E-9,12.19,-617.3E-6,0.001171,-49.66E-6,0.001325,12.19
12110,C81,-295.1E-6,-9.636,244.4E-9,9.636,0.001106,-0.001104,133.1E-6,0.001568,9.636
12110,C82,-8.331,-5.074,-34.50E-6,9.755,122.0E-6,54.15E-6,-215.0E-6,253.0E-6,9.755
12110,C83,8.497,-5.079,62.59E-9,9.899,63.57E-6,-175.6E-6,250.4E-6,312.4E-6,9.899
12110,C84,-6.249,-12.66,-25.78E-6,14.12,272.7E-6,-3.394E-6,-166.1E-6,319.3E-6,14.12
12110,C85,6.373,-12.66,146.0E-9,14.18,228.8E-6,-175.7E-6,183.0E-6,341.7E-6,14.18
12110,C86,-8.331,-5.075,-34.50E-6,9.755,121.4E-6,71.87E-6,-215.4E-6,257.5E-6,9.755
12110,C87,8.497,-5.080,64.14E-9,9.900,62.93E-6,-157.9E-6,250.0E-6,302.3E-6,9.900
12110,C88,-6.249,-12.66,-25.77E-6,14.12,270.8E-6,47.22E-6,-167.3E-6,321.8E-6,14.12
12110,C89,6.373,-12.67,150.4E-9,14.18,227.0E-6,-125.1E-6,181.8E-6,316.6E-6,14.18
12110,C90,-8.386,-1.980,-35.20E-6,8.617,0.001283,348.2E-6,-39.51E-6,0.001330,8.617
12110,C91,8.551,-1.986,-708.5E-9,8.778,0.001182,120.5E-6,444.2E-6,0.001268,8.778
12110,C92,-6.290,-10.34,-26.30E-6,12.10,0.001143,217.2E-6,-34.48E-6,0.001164,12.10
12110,C93,6.413,-10.34,-432.3E-9,12.17,0.001067,46.40E-6,328.3E-6,0.001118,12.17
12110,C95,94.94E-6,16.40,-183.5E-9,16.40,-335.5E-6,81.49E-6,8.977E-6,345.3E-6,16.40
12110,C96,-88.21E-6,-15.23,170.5E-9,15.23,311.7E-6,-75.72E-6,-8.341E-6,320.9E-6,15.23
12110,C97,176.5E-6,-1.239,266.4E-9,1.239,-455.5E-6,-54.30E-6,-73.64E-6,464.6E-6,1.239
12110,C98,-441.2E-6,3.098,-666.0E-9,3.098,0.001139,135.7E-6,184.1E-6,0.001161,3.098
12110,C99,41.36E-6,0.02864,235.1E-9,0.02864,12.71E-6,-253.3E-6,6.378E-6,253.7E-6,0.02864
12110,C100,-41.36E-6,-0.02864,-235.1E-9,0.02864,-12.71E-6,253.3E-6,-6.378E-6,253.7E-6,0.02864
12110,C101,-0.05433,-0.003939,-39.28E-9,0.05447,21.78E-6,158.3E-6,-8.640E-6,160.1E-6,0.05447
12110,C102,0.05433,0.003939,39.28E-9,0.05447,-21.78E-6,-158.3E-6,8.640E-6,160.1E-6,0.05447
12110,C103,0.05430,-0.004536,-105.1E-9,0.05449,-20.69E-6,160.4E-6,9.688E-6,162.1E-6,0.05449
12110,C104,-0.05430,0.004536,105.1E-9,0.05449,20.69E-6,-160.4E-6,-9.688E-6,162.1E-6,0.05449
12110,C105,-4.964E-6,0.002291,-4.426E-9,0.002291,1.813E-6,-50.61E-6,1.209E-6,50.66E-6,0.002291
12110,C106,4.964E-6,-0.002291,4.426E-9,0.002291,-1.813E-6,50.61E-6,-1.209E-6,50.66E-6,0.002291
12110,C107,-8.386,-0.8760,-34.59E-6,8.431,57.79E-6,233.4E-6,-221.3E-6,326.8E-6,8.431
12110,C108,8.551,-0.8813,-89.56E-9,8.597,-43.10E-6,5.698E-6,262.4E-6,266.0E-6,8.597
12110,C109,74.30E-6,0.02542,433.2E-9,0.02542,-3.260E-6,-956.3E-6,-3.144E-6,956.3E-6,0.02542
12110,C110,-74.30E-6,-0.02542,-433.2E-9,0.02542,3.260E-6,956.3E-6,3.144E-6,956.3E-6,0.02542
12110,C111,168.4E-6,4.471,-32.94E-9,4.471,-585.6E-6,227.6E-6,-76.87E-6,633.0E-6,4.471
12110,C112,-430.7E-6,-2.205,-371.2E-9,2.205,0.001261,-144.1E-6,187.6E-6,0.001283,2.205
12110,C113,196.3E-6,15.45,-160.0E-9,15.45,-686.6E-6,230.8E-6,-51.03E-6,726.2E-6,15.45
12110,C114,-388.1E-6,-12.89,-152.7E-9,12.89,0.001175,-163.9E-6,134.5E-6,0.001194,12.89
12110,C115,166.6E-6,4.472,-34.49E-9,4.472,-585.0E-6,209.9E-6,-76.45E-6,626.2E-6,4.472
12110,C116,-429.0E-6,-2.206,-369.7E-9,2.206,0.001260,-126.4E-6,187.1E-6,0.001280,2.206
12110,C117,191.3E-6,15.45,-164.4E-9,15.45,-684.8E-6,180.2E-6,-49.83E-6,709.9E-6,15.45
12110,C118,-383.2E-6,-12.89,-148.3E-9,12.89,0.001173,-113.3E-6,133.3E-6,0.001186,12.89
12110,C119,140.6E-6,4.463,-186.1E-9,4.463,-583.8E-6,544.6E-6,-75.35E-6,801.9E-6,4.463
12110,C120,-403.0E-6,-2.197,-218.0E-9,2.197,0.001259,-461.1E-6,186.0E-6,0.001353,2.197
12110,C121,142.4E-6,4.462,-184.6E-9,4.462,-584.5E-6,562.3E-6,-75.77E-6,814.6E-6,4.462
12110,C122,-404.7E-6,-2.196,-219.6E-9,2.196,0.001259,-478.8E-6,186.5E-6,0.001360,2.196
12110,C123,117.0E-6,15.42,-597.6E-9,15.42,-681.5E-6,0.001136,-46.68E-6,0.001326,15.42
